,id,link,coordinates,address,stars
79,49188465319,https://yandex.ru/maps/org/ozon/49188465319/,"30.332931,59.960643","Пинский пер., 4",2.7
80,49646108525,https://yandex.ru/maps/org/ozon/49646108525/,"30.211860,59.940005","Морская наб., 15, этаж цокольный",4.7
81,49913069958,https://yandex.ru/maps/org/ozon/49913069958/,"30.352079,60.038519","просп. Луначарского, 35А",3.7
82,50228295345,https://yandex.ru/maps/org/ozon/50228295345/,"30.343596,60.041032","просп. Луначарского, 62, корп. 1, этаж 1",1.1
83,50561270939,https://yandex.ru/maps/org/ozon/50561270939/,"30.334504,60.050349","просп. Энгельса, 137",4.4
84,50656826885,https://yandex.ru/maps/org/ozon/50656826885/,"30.316220,59.978128","Аптекарская наб., 18, С обратной стороны напротив парковки, БЦ Page",4.3
85,51188162587,https://yandex.ru/maps/org/ozon/51188162587/,"30.459544,59.921997","просп. Пятилеток, 8, корп. 1",4.3
86,52079113250,https://yandex.ru/maps/org/ozon/52079113250/,"30.414782,60.040218","ул. Ушинского, 33, корп. 3",4.3
87,52131932004,https://yandex.ru/maps/org/ozon/52131932004/,"30.359877,59.999467","2-й Муринский просп., 38, секция 3, этаж 1",4.6
88,52396285866,https://yandex.ru/maps/org/ozon/52396285866/,"30.304978,59.957635","ул. Маркина, 18/7",4.2
89,53084105096,https://yandex.ru/maps/org/ozon/53084105096/,"30.268675,60.020019","Парашютная ул., 27, корп. 2",4.3
90,53446908292,https://yandex.ru/maps/org/ozon/53446908292/,"30.207532,60.034295","просп. Авиаконструкторов, 63",4.3
91,53828636158,https://yandex.ru/maps/org/ozon/53828636158/,"30.296734,59.918177","Лермонтовский просп., 28",4.6
92,53859923946,https://yandex.ru/maps/org/ozon/53859923946/,"30.227943,59.960568","Морская наб., 39, корп. 2",4.4
93,54435425663,https://yandex.ru/maps/org/ozon/54435425663/,"30.312594,60.013535","Фермское ш., 16",4.4
94,55283369504,https://yandex.ru/maps/org/ozon/55283369504/,"30.391936,60.036719","Светлановский просп., 58, корп. 3",4.4
