id,link,coordinates,address,stars
58790517394,https://yandex.ru/maps/org/ozon/58790517394/,"30.322965,60.013479","просп. Энгельса, 52",4.3
63659431304,https://yandex.ru/maps/org/ozon/63659431304/,"30.213261,60.002801","Туристская ул., 23, корп. 1",4.3
216427011654,https://yandex.ru/maps/org/ozon/216427011654/,"30.215767,59.995899","Мебельная ул., 19, корп. 2",4.8
138944688277,https://yandex.ru/maps/org/ozon/138944688277/,"30.273819,59.996583","Полевая Сабировская ул., 47, корп. 1",4.7
68721290739,https://yandex.ru/maps/org/ozon/68721290739/,"30.425187,59.984987","Пискарёвский просп., 40, этаж 1",4.7
5194127358,https://yandex.ru/maps/org/ozon/5194127358/,"30.213774,59.956068","Капитанская ул., 5Б",4.7
73007153301,https://yandex.ru/maps/org/ozon/73007153301/,"30.240595,60.022588","Комендантский просп., 34, корп. 1В",4.5
64189567898,https://yandex.ru/maps/org/ozon/64189567898/,"30.352061,59.942460","ул. Рылеева, 3, этаж 1",4.4
177591180126,https://yandex.ru/maps/org/ozon/177591180126/,"30.275282,60.002968","Байконурская ул., 15",4.6
198715602835,https://yandex.ru/maps/org/ozon/198715602835/,"30.202600,59.990030","Туристская ул., 10, корп. 1",4.8
175559819349,https://yandex.ru/maps/org/ozon/175559819349/,"30.236958,59.937612","Малый просп. Васильевского острова, 82",3.9
179227306059,https://yandex.ru/maps/org/ozon/179227306059/,"30.364581,59.946620","ул. Чайковского, 54",4.7
174651550507,https://yandex.ru/maps/org/ozon/174651550507/,"30.417056,59.971096","Пискарёвский просп., 25, корп. 2, этаж 1",4.5
71772226634,https://yandex.ru/maps/org/ozon/71772226634/,"30.394540,59.987739","Бестужевская ул., 10, этаж 1",4.4
19172079710,https://yandex.ru/maps/org/ozon/19172079710/,"30.356045,59.983141","ул. Грибалёвой, 7, корп. 4",4.5
156330708057,https://yandex.ru/maps/org/ozon/156330708057/,"30.241816,59.948783","просп. КИМа, 4Б, этаж 1",4.6
236157823031,https://yandex.ru/maps/org/ozon/236157823031/,"30.309425,59.904996","Парфёновская ул., 5",4.1
15665204435,https://yandex.ru/maps/org/ozon/15665204435/,"30.413277,60.027490","Гражданский просп., 105, корп. 1",4.0
11730279650,https://yandex.ru/maps/org/ozon/11730279650/,"30.253397,60.013975","Комендантский просп., 21, корп. 1",4.3
14327665432,https://yandex.ru/maps/org/ozon/14327665432/,"30.300576,59.967778","ул. Всеволода Вишневского, 9",4.3
186793552937,https://yandex.ru/maps/org/ozon/186793552937/,"30.242885,60.022955","Комендантский просп., 35, корп. 1",4.7
50656826885,https://yandex.ru/maps/org/ozon/50656826885/,"30.316220,59.978128","Аптекарская наб., 18, С обратной стороны напротив парковки, БЦ Page",4.3
156334246917,https://yandex.ru/maps/org/ozon/156334246917/,"30.256028,59.994395","Торфяная дорога, 15, корп. 1",4.8
139267406632,https://yandex.ru/maps/org/ozon/139267406632/,"30.379774,59.996628","просп. Непокорённых, 14/2",4.2
37850845349,https://yandex.ru/maps/org/ozon/37850845349/,"30.238227,60.002778","Богатырский просп., 36, корп. 1",4.7
69252803054,https://yandex.ru/maps/org/ozon/69252803054/,"30.246663,60.010962","просп. Авиаконструкторов, 5, корп. 2, ТЦ Космос",4.1
225498488293,https://yandex.ru/maps/org/ozon/225498488293/,"30.357458,60.003153","просп. Тореза, 30",4.1
107600029482,https://yandex.ru/maps/org/ozon/107600029482/,"30.325948,59.985175","Белоостровская ул., 10, корп. 1",4.6
103704666521,https://yandex.ru/maps/org/ozon/103704666521/,"30.394272,59.982139","Кондратьевский просп., 64, корп. 2",4.8
239626466972,https://yandex.ru/maps/org/ozon/239626466972/,"30.190709,59.989210","Приморский просп., 169",4.7
49188465319,https://yandex.ru/maps/org/ozon/49188465319/,"30.332931,59.960643","Пинский пер., 4",2.7
200882966062,https://yandex.ru/maps/org/ozon/200882966062/,"30.346959,60.032124","Северный просп., 20",4.7
111053061465,https://yandex.ru/maps/org/ozon/111053061465/,"30.353375,59.961411","Лесной просп., 1",4.4
213796218877,https://yandex.ru/maps/org/ozon/213796218877/,"30.410499,60.016175","ул. Софьи Ковалевской, 14, корп. 6, Ачётут",4.5
7884396780,https://yandex.ru/maps/org/ozon/7884396780/,"30.354127,59.947577","Захарьевская ул., 15, этаж 1",4.5
64367746038,https://yandex.ru/maps/org/ozon/64367746038/,"30.240657,59.945584","ул. Беринга, 23, корп. 2",4.8
158517652013,https://yandex.ru/maps/org/ozon/158517652013/,"30.198558,59.995412","Мебельная ул., 35, корп. 2",4.0
197610438939,https://yandex.ru/maps/org/ozon/197610438939/,"30.335784,60.028096","Лиственная ул., 18, корп. 1, этаж 1",4.3
156797598700,https://yandex.ru/maps/org/ozon/156797598700/,"30.388221,60.011609","Гжатская ул., 22, корп. 1, этаж цокольный",4.2
189777734032,https://yandex.ru/maps/org/ozon/189777734032/,"30.290095,60.025275","Земский пер., 8Б, этаж 1",4.3
133590356470,https://yandex.ru/maps/org/ozon/133590356470/,"30.367719,59.936191","Греческий просп., 19",4.9
25010521811,https://yandex.ru/maps/org/ozon/25010521811/,"30.364504,59.943998","Кирочная ул., 36, этаж 1",4.5
69644085892,https://yandex.ru/maps/org/ozon/69644085892/,"30.264690,59.940765","16-я линия Васильевского острова, 49",4.1
1804018955,https://yandex.ru/maps/org/ozon/1804018955/,"30.326699,60.037965","просп. Энгельса, 113, корп. 2, этаж 1",4.4
42052602519,https://yandex.ru/maps/org/ozon/42052602519/,"30.383525,59.937495","ул. Моисеенко, 23",4.4
172856054240,https://yandex.ru/maps/org/ozon/172856054240/,"30.403641,59.935485","Малоохтинский просп., 16, корп. 1",4.8
184660102309,https://yandex.ru/maps/org/ozon/184660102309/,"30.316054,59.981966","Ушаковская наб., 3, корп. 2",4.3
1755157586,https://yandex.ru/maps/org/ozon/1755157586/,"30.293118,59.985540","ул. Савушкина, 20",4.3
149034792811,https://yandex.ru/maps/org/ozon/149034792811/,"30.200390,59.936070","бул. Александра Грина, 3, подъезд 4, офис 489",4.6
139139904098,https://yandex.ru/maps/org/ozon/139139904098/,"30.333143,59.978264","ул. Александра Матросова, 8, корп. 1",4.2
69092933700,https://yandex.ru/maps/org/ozon/69092933700/,"30.287749,60.000280","Богатырский просп., 7, корп. 2",4.3
15436060328,https://yandex.ru/maps/org/ozon/15436060328/,"30.311256,59.988898","Торжковская ул., 7, этаж 1",4.8
186205486566,https://yandex.ru/maps/org/ozon/186205486566/,"30.347765,59.965454","Выборгская ул., 8",4.8
234914857152,https://yandex.ru/maps/org/ozon/234914857152/,"30.309587,59.999507","Ипподромный пер., 3, корп. 1",4.4
2256706611,https://yandex.ru/maps/org/ozon/2256706611/,"30.428355,59.968263","ул. Маршала Тухачевского, 23",4.9
65292500708,https://yandex.ru/maps/org/ozon/65292500708/,"30.269053,60.012512","просп. Королёва, 26А",4.7
189090185795,https://yandex.ru/maps/org/ozon/189090185795/,"30.218662,60.035206","Плесецкая ул., 14",4.8
88497708729,https://yandex.ru/maps/org/ozon/88497708729/,"30.430396,59.994454","просп. Непокорённых, 74",4.8
76182808187,https://yandex.ru/maps/org/ozon/76182808187/,"30.342105,59.920670","ул. Марата, 75",4.7
87420099299,https://yandex.ru/maps/org/ozon/87420099299/,"30.213777,60.007804","Богатырский просп., 55, корп. 1",4.7
44551846782,https://yandex.ru/maps/org/ozon/44551846782/,"30.380837,60.024585","Светлановский просп., 46, корп. 1",4.3
72154434946,https://yandex.ru/maps/org/ozon/72154434946/,"30.271750,60.007207","просп. Испытателей, 29, корп. 1",4.6
196023760794,https://yandex.ru/maps/org/ozon/196023760794/,"30.231513,59.940706","Наличная ул., 26, корп. 1, эт. 1",4.9
120290578182,https://yandex.ru/maps/org/ozon/120290578182/,"30.425423,60.006538","просп. Науки, 44",4.5
159033616983,https://yandex.ru/maps/org/ozon/159033616983/,"30.379418,60.011815","ул. Обручевых, 5",4.4
131184726842,https://yandex.ru/maps/org/ozon/131184726842/,"30.263784,60.004002","Комендантский просп., 9, корп. 2, секция 1-29, этаж 1",4.1
38334586861,https://yandex.ru/maps/org/ozon/38334586861/,"30.279641,60.020853","Репищева ул., 10, корп. 1",4.5
58010690923,https://yandex.ru/maps/org/ozon/58010690923/,"30.220076,60.023855","Планерная ул., 63, корп. 1",4.9
221560574924,https://yandex.ru/maps/org/ozon/221560574924/,"30.363108,59.938302","ул. Радищева, 18",4.5
120306122097,https://yandex.ru/maps/org/ozon/120306122097/,"30.367854,60.014552","Тихорецкий просп., 12, корп. 1",4.3
163100830179,https://yandex.ru/maps/org/ozon/163100830179/,"30.407433,59.984904","Сибирская ул., 16",4.9
233301351677,https://yandex.ru/maps/org/ozon/233301351677/,"30.343148,59.971023","ул. Смолячкова, 12",4.3
173528003345,https://yandex.ru/maps/org/ozon/173528003345/,"30.311796,59.993530","Ланское ш., 14, корп. 1",4.6
210164059249,https://yandex.ru/maps/org/ozon/210164059249/,"30.324777,59.990206","Земледельческая ул., 5, корп. 2, этаж 1",4.4
194837417978,https://yandex.ru/maps/org/ozon/194837417978/,"30.404840,59.978160","Замшина ул., 27, корп. 1",4.9
18045822598,https://yandex.ru/maps/org/ozon/18045822598/,"30.239754,59.985110","ул. Савушкина, 107, корп. 1",4.5
91181226904,https://yandex.ru/maps/org/ozon/91181226904/,"30.340644,59.967831","Малый Сампсониевский просп., 2",2.2
179132275403,https://yandex.ru/maps/org/ozon/179132275403/,"30.280651,59.963535","Глухая Зеленина ул., 2",4.6
245536924647,https://yandex.ru/maps/org/ozon/245536924647/,"30.427628,60.024809","Лужская ул., 10, корп. 1",4.9
97582431450,https://yandex.ru/maps/org/ozon/97582431450/,"30.357663,59.982113","Новолитовская ул., 12",4.4
79287562116,https://yandex.ru/maps/org/ozon/79287562116/,"30.407933,59.928433","Заневский просп., 8",3.9
178631736389,https://yandex.ru/maps/org/ozon/178631736389/,"30.415116,60.016347","ул. Софьи Ковалевской, 13",4.8
50228295345,https://yandex.ru/maps/org/ozon/50228295345/,"30.343596,60.041032","просп. Луначарского, 62, корп. 1, этаж 1",1.1
189985952992,https://yandex.ru/maps/org/ozon/189985952992/,"30.396727,60.008617","ул. Верности, 3",4.4
2312818922,https://yandex.ru/maps/org/ozon/2312818922/,"30.408463,59.964654","Пискарёвский просп., 10",4.6
90852353649,https://yandex.ru/maps/org/ozon/90852353649/,"30.351219,60.044274","просп. Художников, 27, корп. 1",4.7
69451041174,https://yandex.ru/maps/org/ozon/69451041174/,"30.414998,59.955264","Среднеохтинский просп., 40",4.4
96792838617,https://yandex.ru/maps/org/ozon/96792838617/,"30.283183,59.898609","Балтийская ул., 20",4.8
108777368634,https://yandex.ru/maps/org/ozon/108777368634/,"30.340691,59.945030","Гангутская ул., 12",4.2
84822532558,https://yandex.ru/maps/org/ozon/84822532558/,"30.322981,60.039584","просп. Энгельса, 126, корп. 1, этаж 1",4.3
83250021068,https://yandex.ru/maps/org/ozon/83250021068/,"30.374564,60.035804","просп. Луначарского, 80, корп. 1Б, этаж 1",4.6
207911795530,https://yandex.ru/maps/org/ozon/207911795530/,"30.241816,59.953771","просп. КИМа, 28Б",4.4
136914874824,https://yandex.ru/maps/org/ozon/136914874824/,"30.225265,59.986771","ул. Савушкина, 121, корп. 2",4.7
14227586211,https://yandex.ru/maps/org/ozon/14227586211/,"30.367185,59.928921","Гончарная ул., 18",4.1
81540936831,https://yandex.ru/maps/org/ozon/81540936831/,"30.233063,60.031962","Комендантский просп., 55, корп. 1",4.5
82123084502,https://yandex.ru/maps/org/ozon/82123084502/,"30.380271,59.941510","Суворовский просп., 40",4.4
82142520164,https://yandex.ru/maps/org/ozon/82142520164/,"30.288469,59.986603","Сестрорецкая ул., 8, офис 12-Н",4.8
40077388433,https://yandex.ru/maps/org/ozon/40077388433/,"30.314825,59.999928","ул. Матроса Железняка, 57",4.5
239234589746,https://yandex.ru/maps/org/ozon/239234589746/,"30.247491,60.001657","Богатырский просп., 26, корп. 1",4.5
206141326545,https://yandex.ru/maps/org/ozon/206141326545/,"30.368145,59.998787","Политехническая ул., 17, корп. 3",4.4
236515935192,https://yandex.ru/maps/org/ozon/236515935192/,"30.254051,59.957164","Уральская ул., 21",4.9
36736535077,https://yandex.ru/maps/org/ozon/36736535077/,"30.348657,59.939561","Литейный просп., 36, этаж цокольный",4.2
71102656363,https://yandex.ru/maps/org/ozon/71102656363/,"30.217070,59.945256","ул. Кораблестроителей, 21, корп. 1Д",4.8
16559130145,https://yandex.ru/maps/org/ozon/16559130145/,"30.350051,60.009636","просп. Тореза, 39, корп. 1",4.5
99649449499,https://yandex.ru/maps/org/ozon/99649449499/,"30.206003,59.935912","бул. Александра Грина, 2, корп. 1, подъезд 1",4.6
30548681742,https://yandex.ru/maps/org/ozon/30548681742/,"30.354675,59.935518","ул. Маяковского, 14",4.3
161047857741,https://yandex.ru/maps/org/ozon/161047857741/,"30.423247,59.977663","Пискарёвский просп., 37, корп. 2",5.0
131792463983,https://yandex.ru/maps/org/ozon/131792463983/,"30.264287,59.940398","17-я линия Васильевского острова, 38",4.0
32637043758,https://yandex.ru/maps/org/ozon/32637043758/,"30.404465,60.005960","ул. Бутлерова, 11, корп. 4",4.6
216605094513,https://yandex.ru/maps/org/ozon/216605094513/,"30.254853,60.026848","Парашютная ул., 34",4.9
231885906982,https://yandex.ru/maps/org/ozon/231885906982/,"30.419083,59.959608","ш. Революции, 18",4.3
113873753827,https://yandex.ru/maps/org/ozon/113873753827/,"30.333967,60.018469","просп. Тореза, 96",4.8
234186702471,https://yandex.ru/maps/org/ozon/234186702471/,"30.241701,60.003848","Богатырский просп., 35, корп. 1, этаж 1",4.7
16915087539,https://yandex.ru/maps/org/ozon/16915087539/,"30.429136,60.012857","ул. Карпинского, 38, корп. 1",4.5
57419965312,https://yandex.ru/maps/org/ozon/57419965312/,"30.388009,59.944518","Тульская ул., 2",4.0
101968934249,https://yandex.ru/maps/org/ozon/101968934249/,"30.384988,60.034418","просп. Луначарского, 86, корп. 3",4.8
8902031704,https://yandex.ru/maps/org/ozon/8902031704/,"30.300802,59.988332","наб. Чёрной речки, 10",4.1
155003483302,https://yandex.ru/maps/org/ozon/155003483302/,"30.278301,59.937250","11-я линия Васильевского острова, 12",4.3
115721220719,https://yandex.ru/maps/org/ozon/115721220719/,"30.209772,59.988428","ул. Савушкина, 135, корп. 4",4.4
